epoch	G
1	2.559606
2	1.822317
3	1.803344
4	2.664679
5	2.599406
6	2.283750
7	2.667661
8	2.300947
9	2.882283
10	3.419756
11	2.651178
12	2.677858
13	2.482417
14	2.351161
15	2.235139
16	2.434821
17	2.037017
18	1.923089
19	1.961444
20	2.003021
21	1.734956
22	1.787911
23	1.811222
24	1.778811
25	1.669889
26	1.961972
27	1.590889
28	1.927144
29	1.859378
30	1.606622
31	1.611479
32	1.617261
33	1.838844
34	1.530283
35	1.488911
36	1.529778
37	1.625611
38	1.610150
39	1.615974
40	1.501411
41	1.555217
42	1.476689
43	1.558232
44	1.632117
45	1.443389
46	1.473444
47	1.562116
48	1.543467
49	1.759856
50	1.858042
51	1.750639
52	1.707694
53	1.861133
54	1.994184
55	2.065144
56	1.960450
57	2.015761
58	1.933411
59	2.091867
60	2.219272
61	2.038422
62	2.122042
63	2.240578
64	2.173433
65	2.314561
66	2.020684
67	1.883850
68	2.136361
69	2.145222
70	2.114200
71	2.073183
72	2.297717
73	2.279494
74	2.518479
75	2.054856
76	2.170617
77	2.068111
78	2.372483
79	2.166500
80	2.105322
81	2.059632
82	2.074956
83	2.177706
84	2.201617
85	1.961142
86	2.217800
87	2.290856
88	2.406928
89	2.351653
90	2.341728
91	2.152533
92	1.930956
93	2.047826
94	1.925589
95	2.341728
96	2.044350
97	2.048858
98	2.111956
99	2.558989
100	2.119563
101	2.398400
102	2.309589
103	2.035094
104	2.222874
105	2.209056
106	2.004022
107	1.998711
108	2.058858
109	1.951083
110	2.024289
111	2.050439
112	2.142626
113	2.028111
114	2.035072
115	2.019106
116	2.097258
117	2.169461
118	2.111700
119	1.886106
120	1.834153
121	1.443256
122	1.504028
123	1.473683
124	1.673616
125	1.632144
126	1.429756
127	1.371668
128	1.508067
129	1.668678
130	1.374333
131	1.397968
132	1.367672
133	1.370944
134	1.406839
135	1.322316
136	1.315439
137	1.329000
138	1.286444
139	1.323774
140	1.290550
141	1.292239
142	1.326322
143	1.267768
144	1.261772
145	1.231106
146	1.210050
147	1.290037
148	1.278111
149	1.258450
150	1.246021
151	1.346278
152	1.231589
153	1.210450
154	1.295374
155	1.235900
156	1.195400
157	1.253033
158	1.207800
159	1.201522
160	1.189678
161	1.261322
162	1.257789
163	1.137789
164	1.173450
165	1.152289
166	1.139379
167	1.271844
168	1.280817
169	1.258356
170	1.189463
171	1.180556
172	1.167750
173	1.237072
174	1.175453
175	1.245411
176	1.182400
177	1.261921
178	1.211061
179	1.189322
180	1.154833
181	1.298321
182	1.125911
183	1.201228
184	1.203767
185	1.215426
186	1.200039
187	1.225189
188	1.226967
189	1.192595
190	1.166728
191	1.173717
192	1.175200
193	1.192932
194	1.154856
195	1.197956
196	1.133044
197	1.191626
198	1.197778
199	1.106528
200	1.187158
