epoch	G
1	2.373626
2	1.958725
3	2.638361
4	2.677672
5	3.300552
6	3.700381
7	2.998826
8	2.691534
9	2.436268
10	2.271806
11	2.053965
12	2.047413
13	1.874935
14	1.939812
15	1.795906
16	1.753859
17	1.700742
18	1.691156
19	1.636535
20	1.601253
21	1.829868
22	1.856203
23	1.529297
24	1.744250
25	1.595861
26	1.607022
27	1.781755
28	1.951969
29	1.810145
30	2.085316
31	1.901548
32	2.199859
33	2.251729
34	2.030347
35	2.229013
36	2.286416
37	2.342935
38	2.336447
39	2.169484
40	2.322163
41	2.370206
42	2.397694
43	2.195458
44	2.491103
45	2.248932
46	2.232494
47	2.228706
48	2.421687
49	2.114906
50	2.159622
51	2.222706
52	2.233053
53	1.796445
54	1.707972
55	1.557881
56	1.586697
57	1.471881
58	1.689847
59	1.631090
60	1.405325
61	1.519523
62	1.484816
63	1.579487
64	1.395450
65	1.425690
66	1.402087
67	1.626294
68	1.410269
69	1.278819
70	1.423612
71	1.470894
72	1.439950
73	1.413794
74	1.459791
75	1.430974
76	1.388841
77	1.407352
78	1.395838
79	1.387984
80	1.451259
81	1.355055
82	1.471366
83	1.460081
84	1.356788
85	1.420503
86	1.442228
87	1.424903
88	1.378494
89	1.466294
90	1.403128
91	1.382523
92	1.427450
93	1.475455
94	1.397134
95	1.354239
96	1.387403
97	1.399490
98	1.376066
99	1.456523
100	1.328362
101	1.378200
102	1.395375
103	1.421642
104	1.466756
105	1.434481
106	1.493313
107	1.462332
108	1.479075
109	1.547297
110	1.596262
111	1.701284
112	1.533866
113	1.615135
114	1.642262
115	1.650594
116	1.737575
117	1.659287
118	1.650597
119	1.823671
120	1.880034
121	1.739897
122	1.643381
123	1.749739
124	1.775559
125	1.803474
126	1.917231
127	1.810235
128	1.734384
129	1.794645
130	1.828625
131	1.858968
132	1.865356
133	1.785148
134	1.894813
135	1.843571
136	1.799597
137	1.979806
138	1.897309
139	1.792545
140	1.901209
141	1.822768
142	1.988638
143	1.907426
144	1.936853
145	1.977042
146	1.841759
147	2.028677
148	1.813131
149	1.911626
150	1.853412
151	1.927916
152	1.892647
153	1.999665
154	2.048406
155	1.892119
156	1.916313
157	1.988729
158	2.058469
159	1.919671
160	1.956609
161	2.037171
162	1.866322
163	2.039777
164	1.895769
165	1.999945
166	2.013553
167	2.018968
168	2.090953
169	1.987355
170	2.040453
171	2.105610
172	2.060475
173	1.999955
174	2.022556
175	2.062413
176	1.920647
177	1.976168
178	2.052547
179	2.007303
180	1.993466
181	2.085994
182	2.038416
183	2.026719
184	1.994525
185	1.967758
186	2.052637
187	2.045206
188	2.072109
189	2.087948
190	2.076409
191	2.151539
192	1.995047
193	2.072600
194	2.124262
195	2.078003
196	2.073747
197	2.060094
198	2.113138
199	2.168052
200	2.121344
