epoch	G
1	2.540250
2	2.054950
3	2.233078
4	2.835484
5	2.487256
6	2.870600
7	2.643861
8	2.728521
9	2.809344
10	2.531872
11	3.113472
12	2.643442
13	2.754322
14	2.625167
15	2.400742
16	2.406383
17	2.293072
18	2.270556
19	2.417137
20	2.265700
21	2.406911
22	2.375506
23	2.361353
24	2.334667
25	1.881967
26	2.412616
27	2.572800
28	2.558306
29	2.246583
30	1.883447
31	2.259544
32	2.414600
33	2.047672
34	1.699368
35	1.826411
36	1.742228
37	1.916950
38	1.796337
39	1.716550
40	2.232944
41	2.282695
42	1.715317
43	1.808594
44	1.742833
45	1.695826
46	1.716894
47	2.010044
48	2.103450
49	1.974679
50	1.878011
51	1.989994
52	1.841932
53	2.252667
54	2.020956
55	1.806322
56	2.003974
57	1.794167
58	1.916094
59	1.699789
60	1.658053
61	1.690706
62	2.174644
63	1.749263
64	2.413344
65	1.944700
66	1.891050
67	1.881600
68	1.967139
69	1.928678
70	1.741800
71	1.846142
72	1.809422
73	1.914189
74	1.914094
75	1.732158
76	1.735444
77	1.759417
78	1.673600
79	1.880883
80	1.691694
81	2.408217
82	2.479453
83	1.944472
84	1.826956
85	1.708400
86	1.726516
87	1.772056
88	1.883328
89	1.849837
90	1.811344
91	1.743206
92	1.738278
93	1.638821
94	1.626228
95	1.648111
96	1.628233
97	1.566700
98	1.511300
99	1.622811
100	1.583147
101	1.603067
102	1.503850
103	1.509122
104	1.551042
105	1.590506
106	1.582689
107	1.577261
108	1.622584
109	1.471161
110	1.406594
111	1.481572
112	1.530616
113	1.508378
114	1.602039
115	1.554000
116	1.600244
117	1.491244
118	1.606311
119	1.440947
120	1.597694
121	1.486794
122	1.531933
123	1.622332
124	1.554761
125	1.580444
126	1.605479
127	1.681261
128	1.512139
129	1.636728
130	1.596616
131	1.640733
132	1.544372
133	1.628594
134	1.687489
135	1.632450
136	1.757617
137	1.626939
138	1.627889
139	1.612150
140	1.783361
141	1.568595
142	1.640022
143	1.607361
144	1.634500
145	1.650747
146	1.667961
147	1.595428
148	1.656983
149	1.755937
150	1.794150
151	1.739378
152	1.753353
153	1.748478
154	1.737533
155	1.576456
156	1.750142
157	1.778944
158	1.799517
159	1.866133
160	1.659611
161	1.727922
162	1.714900
163	1.721921
164	1.872711
165	1.740611
166	1.732894
167	1.828768
168	1.701067
169	1.712439
170	1.766739
171	1.620668
172	1.748039
173	1.718644
174	1.805339
175	1.716258
176	1.754378
177	1.901117
178	1.791737
179	1.867667
180	1.874072
181	1.815622
182	1.815374
183	1.772811
184	1.717711
185	1.745256
186	1.731905
187	1.912539
188	1.912372
189	1.768116
190	1.917267
191	1.917972
192	1.881289
193	1.709600
194	1.775217
195	1.883700
196	1.790328
197	1.843958
198	1.860672
199	1.737172
200	1.817163
