epoch	G
1	3.315900
2	2.604362
3	2.192075
4	2.109938
5	2.242425
6	2.988237
7	2.783650
8	2.826771
9	2.982487
10	2.887263
11	3.181050
12	2.615725
13	2.944375
14	2.732025
15	2.274550
16	2.546686
17	2.661275
18	3.119475
19	2.302837
20	2.870388
21	3.216700
22	2.592487
23	3.307100
24	2.780971
25	3.210562
26	2.728887
27	2.652000
28	3.338388
29	2.737837
30	2.787088
31	2.186071
32	2.168950
33	2.109075
34	2.446525
35	2.052400
36	2.093150
37	3.145475
38	1.978625
39	2.117557
40	2.364438
41	2.396437
42	3.103350
43	1.867375
44	1.903550
45	1.844963
46	2.623975
47	2.341457
48	2.328512
49	1.938837
50	3.491200
51	3.212350
52	1.961838
53	2.106513
54	2.017457
55	1.937125
56	2.304825
57	2.917550
58	2.311587
59	1.876375
60	2.139937
61	2.130800
62	2.581186
63	3.370588
64	1.936200
65	2.090350
66	1.813112
67	1.914050
68	2.833112
69	2.473350
70	1.959729
71	2.316212
72	1.882350
73	1.900950
74	1.923050
75	1.859125
76	1.890150
77	1.841471
78	1.898275
79	2.261250
80	1.910562
81	1.779162
82	1.707400
83	1.866175
84	2.867812
85	3.269529
86	2.985925
87	2.542250
88	2.318375
89	1.909200
90	3.087063
91	2.696212
92	1.841450
93	2.597157
94	2.182437
95	1.848513
96	1.858625
97	1.807287
98	1.893787
99	2.125400
100	1.843237
101	1.849914
102	1.865563
103	1.897412
104	1.826300
105	1.736725
106	1.901550
107	1.784475
108	1.710386
109	1.959375
110	1.819012
111	1.799225
112	1.831063
113	1.802750
114	1.837562
115	1.700312
116	1.716786
117	1.800400
118	1.755763
119	1.888513
120	1.724475
121	1.816900
122	2.355563
123	2.071662
124	1.657071
125	1.841125
126	1.679425
127	1.762775
128	1.857750
129	1.723737
130	1.631038
131	1.724857
132	1.804700
133	1.812137
134	1.736775
135	1.804575
136	1.745950
137	1.686087
138	1.741550
139	1.790043
140	1.753788
141	1.865638
142	1.797238
143	1.744012
144	1.847263
145	1.706450
146	1.776137
147	1.773914
148	1.714350
149	1.723237
150	1.716350
151	1.752525
152	1.791200
153	1.733400
154	1.731700
155	1.722575
156	1.623887
157	1.843300
158	1.834925
159	1.719225
160	1.701275
161	1.725513
162	1.754657
163	1.728587
164	1.723675
165	1.719125
166	1.812275
167	1.682375
168	1.767937
169	1.707025
170	1.776657
171	1.691912
172	1.713863
173	1.763725
174	1.730450
175	1.776237
176	1.675425
177	1.795729
178	1.765462
179	1.798113
180	1.709000
181	1.695812
182	1.690587
183	1.653250
184	1.680737
185	1.720571
186	1.631225
187	1.671813
188	1.673900
189	1.706762
190	1.695575
191	1.682350
192	1.698125
193	1.750286
194	1.648050
195	1.699337
196	1.697200
197	1.709075
198	1.695837
199	1.611887
200	1.666613
