epoch	G
1	3.017167
2	2.074889
3	1.633889
4	1.577316
5	1.542278
6	1.464222
7	1.389333
8	1.369895
9	1.309000
10	1.352333
11	1.306889
12	1.306789
13	1.327333
14	1.335722
15	1.285500
16	1.291842
17	1.362056
18	1.285944
19	1.277389
20	1.309947
21	1.305278
22	1.312944
23	1.402833
24	1.293421
25	1.322000
26	1.353000
27	1.313000
28	1.428722
29	1.314722
30	1.321389
31	1.340053
32	1.289556
33	1.393611
34	1.349389
35	1.369947
36	1.384500
37	1.350500
38	1.396056
39	1.379000
40	1.380278
41	1.549389
42	1.634500
43	1.476263
44	1.584167
45	1.412278
46	1.437611
47	1.456000
48	1.457556
49	1.482889
50	1.499474
51	1.407500
52	1.471667
53	1.407722
54	1.335421
55	1.433222
56	1.524889
57	1.419167
58	1.394474
59	1.443722
60	1.381500
61	1.417222
62	1.429158
63	1.437556
64	1.389278
65	1.443333
66	1.390737
67	1.448889
68	1.401944
69	1.439000
70	1.418789
71	1.412056
72	1.379722
73	1.354722
74	1.389105
75	1.436833
76	1.454500
77	1.384737
78	1.331833
79	1.422778
80	1.412778
81	1.399211
82	1.403333
83	1.402167
84	1.438889
85	1.458526
86	1.455667
87	1.372944
88	1.402833
89	1.388316
90	1.374611
91	1.438833
92	1.369778
93	1.430737
94	1.351833
95	1.480944
96	1.484889
97	1.396000
98	1.449556
99	1.434000
100	1.437421
101	1.420611
102	1.426556
103	1.438500
104	1.466737
105	1.416722
106	1.463278
107	1.383389
108	1.356316
109	1.373333
110	1.431833
111	1.526667
112	1.468474
113	1.562444
114	1.567056
115	1.575722
116	1.499737
117	1.544444
118	1.592500
119	1.526556
120	1.624684
121	1.533722
122	1.517944
123	1.616556
124	1.572474
125	1.569556
126	1.525944
127	1.593000
128	1.516889
129	1.623222
130	1.566222
131	1.420895
132	1.485556
133	1.431111
134	1.553667
135	1.468737
136	1.446444
137	1.460722
138	1.536333
139	1.493158
140	1.484444
141	1.568556
142	1.569611
143	1.569105
144	1.532944
145	1.520222
146	1.498333
147	1.495789
148	1.490944
149	1.501889
150	1.528632
151	1.490222
152	1.508111
153	1.525111
154	1.440526
155	1.535833
156	1.521000
157	1.579111
158	1.546474
159	1.506167
160	1.505222
161	1.539722
162	1.603368
163	1.542444
164	1.554444
165	1.499667
166	1.572316
167	1.566056
168	1.502167
169	1.442556
170	1.473000
171	1.461722
172	1.515833
173	1.547444
174	1.492421
175	1.471000
176	1.482778
177	1.521895
178	1.478333
179	1.499611
180	1.481611
181	1.558684
182	1.518889
183	1.539889
184	1.514000
185	1.472368
186	1.559056
187	1.482056
188	1.510167
189	1.482684
190	1.499889
191	1.502333
192	1.433167
193	1.480316
194	1.514611
195	1.439611
196	1.493556
197	1.510105
198	1.484167
199	1.450556
200	1.481579
