epoch	G
1	2.751548
2	2.007906
3	1.715613
4	1.640656
5	1.562129
6	1.458312
7	1.402452
8	1.398125
9	1.387419
10	1.336031
11	1.348452
12	1.358156
13	1.311516
14	1.312406
15	1.337484
16	1.372937
17	1.393677
18	1.375125
19	1.378677
20	1.357813
21	1.423452
22	1.412562
23	1.429581
24	1.476312
25	1.619613
26	1.620719
27	1.580871
28	1.523688
29	1.485000
30	1.560156
31	1.472355
32	1.450531
33	1.511258
34	1.428031
35	1.440323
36	1.416219
37	1.417871
38	1.387938
39	1.464806
40	1.416094
41	1.475097
42	1.494406
43	1.453774
44	1.439844
45	1.478484
46	1.465656
47	1.511129
48	1.478563
49	1.495516
50	1.503281
51	1.477516
52	1.472344
53	1.481355
54	1.457437
55	1.497581
56	1.478219
57	1.577548
58	1.501375
59	1.516290
60	1.496250
61	1.529710
62	1.525594
63	1.543839
64	1.494625
65	1.465161
66	1.439094
67	1.488935
68	1.532406
69	1.436968
70	1.467031
71	1.511194
72	1.566437
73	1.534419
74	1.517375
75	1.591839
76	1.518938
77	1.537677
78	1.586625
79	1.545226
80	1.582625
81	1.624645
82	1.481219
83	1.572323
84	1.581375
85	1.580452
86	1.607813
87	1.503613
88	1.563219
89	1.560097
90	1.529250
91	1.527935
92	1.510781
93	1.562065
94	1.565469
95	1.530419
96	1.555531
97	1.485968
98	1.544437
99	1.495419
100	1.493719
101	1.529323
102	1.535125
103	1.536516
104	1.545469
105	1.543645
106	1.527906
107	1.517613
108	1.468438
109	1.532774
110	1.497437
111	1.525968
112	1.507688
113	1.470129
114	1.477375
115	1.492419
116	1.548031
117	1.495806
118	1.564531
119	1.524129
120	1.488312
121	1.521065
122	1.562844
123	1.601194
124	1.508156
125	1.507290
126	1.541281
127	1.505194
128	1.555531
129	1.510452
130	1.507406
131	1.457613
132	1.475313
133	1.470710
134	1.429500
135	1.543774
136	1.531531
137	1.476548
138	1.469219
139	1.492323
140	1.542781
141	1.527258
142	1.573500
143	1.510710
144	1.473094
145	1.533355
146	1.516938
147	1.466097
148	1.475500
149	1.520677
150	1.545000
151	1.553129
152	1.624812
153	1.546323
154	1.550781
155	1.561032
156	1.589531
157	1.590258
158	1.532500
159	1.544968
160	1.655344
161	1.558903
162	1.573281
163	1.631355
164	1.626844
165	1.489097
166	1.576219
167	1.522935
168	1.540281
169	1.514839
170	1.483000
171	1.558194
172	1.478563
173	1.484774
174	1.522094
175	1.454742
176	1.439219
177	1.443000
178	1.516031
179	1.463484
180	1.504656
181	1.438258
182	1.458781
183	1.512968
184	1.579375
185	1.505161
186	1.500969
187	1.472742
188	1.484906
189	1.488129
190	1.505375
191	1.486097
192	1.472344
193	1.522774
194	1.447969
195	1.477129
196	1.526906
197	1.513871
198	1.502188
199	1.470194
200	1.461906
