epoch	G
1	3.556389
2	2.319556
3	2.141611
4	1.625263
5	1.713000
6	1.594611
7	1.496556
8	1.399105
9	1.436667
10	1.375500
11	1.304944
12	1.367737
13	1.356111
14	1.405222
15	1.310211
16	1.326333
17	1.295278
18	1.334278
19	1.344789
20	1.296167
21	1.326389
22	1.284000
23	1.316316
24	1.275222
25	1.254833
26	1.360316
27	1.324333
28	1.370333
29	1.365667
30	1.508474
31	1.400056
32	1.446389
33	1.640722
34	1.491211
35	1.435333
36	1.428833
37	1.405722
38	1.475684
39	1.589611
40	1.325389
41	1.477211
42	1.412889
43	1.423389
44	1.424389
45	1.395947
46	1.373389
47	1.365056
48	1.353778
49	1.364526
50	1.381667
51	1.382167
52	1.366211
53	1.310222
54	1.353000
55	1.347111
56	1.336684
57	1.335389
58	1.375722
59	1.354944
60	1.355263
61	1.366333
62	1.393000
63	1.336842
64	1.339889
65	1.324500
66	1.351389
67	1.416105
68	1.356111
69	1.362611
70	1.355222
71	1.322526
72	1.459556
73	1.414556
74	1.363000
75	1.353526
76	1.361000
77	1.298333
78	1.405526
79	1.375333
80	1.392056
81	1.398722
82	1.354789
83	1.339333
84	1.365167
85	1.367389
86	1.408526
87	1.350333
88	1.377056
89	1.397368
90	1.409944
91	1.395333
92	1.375389
93	1.397158
94	1.395944
95	1.386833
96	1.377889
97	1.348105
98	1.411167
99	1.436944
100	1.425579
101	1.415722
102	1.410667
103	1.409000
104	1.364737
105	1.395444
106	1.348722
107	1.380611
108	1.420842
109	1.402556
110	1.401611
111	1.414222
112	1.424474
113	1.427389
114	1.467611
115	1.440632
116	1.358778
117	1.384000
118	1.446167
119	1.456947
120	1.426278
121	1.460111
122	1.382222
123	1.466000
124	1.424944
125	1.401667
126	1.381737
127	1.351833
128	1.403611
129	1.384667
130	1.434474
131	1.441611
132	1.362722
133	1.368167
134	1.336421
135	1.402778
136	1.371889
137	1.318389
138	1.377842
139	1.343889
140	1.360333
141	1.390158
142	1.336833
143	1.356611
144	1.419333
145	1.317632
146	1.368556
147	1.337667
148	1.335944
149	1.339053
150	1.309722
151	1.425389
152	1.325158
153	1.358556
154	1.342000
155	1.328722
156	1.361842
157	1.340778
158	1.331667
159	1.324111
160	1.344579
161	1.289722
162	1.364000
163	1.351263
164	1.335833
165	1.364333
166	1.317389
167	1.314526
168	1.332778
169	1.307944
170	1.334222
171	1.311368
172	1.288056
173	1.331000
174	1.339611
175	1.329053
176	1.297111
177	1.321556
178	1.317368
179	1.293111
180	1.252889
181	1.321333
182	1.290737
183	1.359667
184	1.284167
185	1.300889
186	1.299474
187	1.320611
188	1.315944
189	1.328000
190	1.255111
191	1.305167
192	1.286167
193	1.286895
194	1.289167
195	1.243222
196	1.262556
197	1.288842
198	1.264833
199	1.257889
200	1.301368
