epoch	G
1	3.689143
2	2.642875
3	2.666625
4	2.279000
5	2.207500
6	1.782000
7	1.638750
8	1.671429
9	1.703250
10	1.568625
11	1.619500
12	1.869750
13	1.702000
14	1.532000
15	1.479250
16	1.533143
17	1.496375
18	1.518250
19	1.783125
20	1.518500
21	1.452500
22	1.685625
23	1.499000
24	1.578000
25	1.443750
26	1.533000
27	1.757125
28	1.451500
29	1.508500
30	1.443250
31	1.573857
32	1.705875
33	1.609875
34	1.433250
35	1.644875
36	1.557500
37	1.423875
38	1.541750
39	1.577000
40	1.482125
41	1.512875
42	1.453125
43	1.580250
44	1.463125
45	1.385250
46	1.472500
47	1.534857
48	1.530000
49	1.396500
50	1.479750
51	1.456625
52	1.371625
53	1.442250
54	1.410714
55	1.405000
56	1.430625
57	1.508125
58	1.341625
59	1.475625
60	1.419625
61	1.481500
62	1.471143
63	1.556375
64	1.479125
65	1.444375
66	1.424375
67	1.439000
68	1.532000
69	1.516625
70	1.463286
71	1.413500
72	1.450500
73	1.572625
74	1.509000
75	1.497625
76	1.451625
77	1.426714
78	1.516125
79	1.455500
80	1.549250
81	1.498875
82	1.461000
83	1.472000
84	1.425500
85	1.499286
86	1.519875
87	1.511625
88	1.552000
89	1.491125
90	1.471000
91	1.490000
92	1.477500
93	1.500286
94	1.430125
95	1.561000
96	1.597250
97	1.458000
98	1.574000
99	1.536500
100	1.402000
101	1.493857
102	1.512875
103	1.472000
104	1.539375
105	1.527250
106	1.586625
107	1.501250
108	1.468143
109	1.509500
110	1.491125
111	1.510250
112	1.514875
113	1.465375
114	1.479500
115	1.581375
116	1.469714
117	1.560250
118	1.577625
119	1.475000
120	1.541375
121	1.508375
122	1.499250
123	1.552875
124	1.641429
125	1.522750
126	1.518250
127	1.510125
128	1.594000
129	1.583875
130	1.603000
131	1.595143
132	1.511375
133	1.547875
134	1.589750
135	1.567125
136	1.562000
137	1.593375
138	1.522750
139	1.587000
140	1.605625
141	1.492125
142	1.657375
143	1.528875
144	1.504250
145	1.511125
146	1.667750
147	1.699143
148	1.568250
149	1.505375
150	1.598125
151	1.556375
152	1.584000
153	1.502375
154	1.551143
155	1.660500
156	1.545875
157	1.644000
158	1.590750
159	1.661625
160	1.517375
161	1.547125
162	1.654857
163	1.506750
164	1.562625
165	1.628125
166	1.578125
167	1.570125
168	1.670375
169	1.560125
170	1.670429
171	1.518750
172	1.675000
173	1.596750
174	1.625625
175	1.555125
176	1.630125
177	1.571286
178	1.575500
179	1.615875
180	1.571125
181	1.552125
182	1.637125
183	1.569750
184	1.618375
185	1.574000
186	1.570125
187	1.588250
188	1.608500
189	1.623625
190	1.645125
191	1.633125
192	1.552750
193	1.590857
194	1.591250
195	1.667625
196	1.603125
197	1.569500
198	1.641000
199	1.640250
200	1.620125
