epoch	G
1	2.748375
2	1.604222
3	1.511833
4	1.470053
5	1.451444
6	1.405000
7	1.487222
8	1.423632
9	1.357111
10	1.405278
11	1.334278
12	1.274105
13	1.274722
14	1.353000
15	1.285944
16	1.312895
17	1.255444
18	1.301889
19	1.325556
20	1.288053
21	1.220833
22	1.353167
23	1.285889
24	1.281947
25	1.270500
26	1.258611
27	1.256421
28	1.239556
29	1.271833
30	1.276333
31	1.286579
32	1.362222
33	1.294389
34	1.365278
35	1.359158
36	1.326167
37	1.302333
38	1.348278
39	1.297421
40	1.270278
41	1.269667
42	1.284444
43	1.342105
44	1.328944
45	1.329667
46	1.250778
47	1.292158
48	1.306611
49	1.373500
50	1.313368
51	1.356167
52	1.340389
53	1.327000
54	1.335000
55	1.454222
56	1.414944
57	1.416611
58	1.369947
59	1.387556
60	1.429778
61	1.504667
62	1.501211
63	1.446111
64	1.465222
65	1.454778
66	1.435737
67	1.510222
68	1.455944
69	1.494833
70	1.492579
71	1.476667
72	1.507167
73	1.508111
74	1.424105
75	1.464778
76	1.424500
77	1.495632
78	1.470889
79	1.420556
80	1.512444
81	1.570842
82	1.466389
83	1.585611
84	1.505000
85	1.405789
86	1.578722
87	1.523222
88	1.491944
89	1.436421
90	1.451111
91	1.485944
92	1.488778
93	1.373632
94	1.535333
95	1.496111
96	1.496944
97	1.458842
98	1.446278
99	1.495389
100	1.494053
101	1.557889
102	1.485778
103	1.512667
104	1.481632
105	1.397444
106	1.565889
107	1.474389
108	1.495368
109	1.540278
110	1.603500
111	1.435611
112	1.586842
113	1.558556
114	1.488611
115	1.607889
116	1.447842
117	1.496944
118	1.532889
119	1.533500
120	1.544368
121	1.554000
122	1.494167
123	1.463778
124	1.479842
125	1.503500
126	1.467556
127	1.460632
128	1.501056
129	1.504111
130	1.517167
131	1.530895
132	1.564111
133	1.532500
134	1.501722
135	1.504526
136	1.503833
137	1.441889
138	1.493444
139	1.512421
140	1.515333
141	1.542944
142	1.581000
143	1.594684
144	1.472611
145	1.514056
146	1.482000
147	1.543632
148	1.520889
149	1.437944
150	1.569632
151	1.635167
152	1.560778
153	1.569222
154	1.465684
155	1.511167
156	1.430556
157	1.468722
158	1.535947
159	1.555944
160	1.448333
161	1.454667
162	1.501895
163	1.558056
164	1.596722
165	1.549944
166	1.536000
167	1.550000
168	1.592389
169	1.556333
170	1.410158
171	1.483167
172	1.582389
173	1.475944
174	1.518053
175	1.539222
176	1.455333
177	1.586579
178	1.488444
179	1.471167
180	1.543611
181	1.423579
182	1.510111
183	1.522278
184	1.571556
185	1.469105
186	1.512889
187	1.477000
188	1.519889
189	1.464474
190	1.617500
191	1.571833
192	1.494222
193	1.568421
194	1.600222
195	1.503111
196	1.524833
197	1.541895
198	1.486222
199	1.574722
200	1.447211
