epoch	G
1	2.355548
2	1.661344
3	1.701935
4	1.590344
5	1.532419
6	1.516938
7	1.507290
8	1.431594
9	1.449839
10	1.401906
11	1.494452
12	1.441312
13	1.480097
14	1.516469
15	1.468258
16	1.383625
17	1.477452
18	1.383188
19	1.409097
20	1.482781
21	1.527581
22	1.452813
23	1.511548
24	1.554250
25	1.641000
26	1.695531
27	1.643968
28	1.631563
29	1.690194
30	1.610937
31	1.579226
32	1.645625
33	1.581355
34	1.597406
35	1.651194
36	1.600906
37	1.544774
38	1.677219
39	1.645194
40	1.588781
41	1.645161
42	1.626625
43	1.611613
44	1.592656
45	1.603387
46	1.630875
47	1.593581
48	1.558812
49	1.638774
50	1.558594
51	1.606677
52	1.573406
53	1.693613
54	1.652344
55	1.595903
56	1.596031
57	1.636839
58	1.668813
59	1.614355
60	1.669031
61	1.649710
62	1.565844
63	1.588839
64	1.614313
65	1.647839
66	1.646844
67	1.647677
68	1.650156
69	1.655323
70	1.610125
71	1.648387
72	1.644094
73	1.593903
74	1.673406
75	1.589935
76	1.587750
77	1.716000
78	1.568406
79	1.565032
80	1.611469
81	1.657903
82	1.609750
83	1.587806
84	1.579844
85	1.644290
86	1.574031
87	1.643742
88	1.682156
89	1.582548
90	1.583438
91	1.604419
92	1.596500
93	1.659871
94	1.564688
95	1.626161
96	1.527688
97	1.610065
98	1.695625
99	1.668097
100	1.634094
101	1.552968
102	1.625344
103	1.614968
104	1.593687
105	1.559839
106	1.599250
107	1.584097
108	1.610344
109	1.612742
110	1.570969
111	1.588613
112	1.578125
113	1.587548
114	1.554281
115	1.633065
116	1.516594
117	1.588968
118	1.573063
119	1.610452
120	1.672562
121	1.627419
122	1.642094
123	1.558581
124	1.626719
125	1.602548
126	1.555063
127	1.648161
128	1.607125
129	1.646419
130	1.636000
131	1.540774
132	1.691719
133	1.535323
134	1.614594
135	1.622484
136	1.678688
137	1.584871
138	1.595625
139	1.672677
140	1.586188
141	1.664065
142	1.625344
143	1.600226
144	1.608625
145	1.655839
146	1.621781
147	1.617968
148	1.629000
149	1.651065
150	1.657812
151	1.665742
152	1.628125
153	1.608935
154	1.621906
155	1.662000
156	1.666000
157	1.555710
158	1.607625
159	1.622806
160	1.663156
161	1.650613
162	1.663219
163	1.521484
164	1.751969
165	1.609000
166	1.624250
167	1.568484
168	1.594688
169	1.573097
170	1.636187
171	1.620839
172	1.570875
173	1.628677
174	1.592344
175	1.597065
176	1.628781
177	1.599000
178	1.615969
179	1.621710
180	1.682281
181	1.553871
182	1.624937
183	1.661032
184	1.615656
185	1.638387
186	1.597687
187	1.666871
188	1.578625
189	1.648774
190	1.659250
191	1.567645
192	1.568062
193	1.617871
194	1.683844
195	1.638903
196	1.622500
197	1.615194
198	1.570969
199	1.636903
200	1.634562
