epoch	G
1	2.637111
2	1.780444
3	1.789556
4	1.629368
5	1.675111
6	1.697500
7	1.647667
8	1.627947
9	1.466389
10	1.488278
11	1.440944
12	1.441737
13	1.567500
14	1.424556
15	1.439000
16	1.507500
17	1.390000
18	1.409944
19	1.452000
20	1.445111
21	1.462389
22	1.383278
23	1.531789
24	1.482722
25	1.463444
26	1.438737
27	1.505056
28	1.552500
29	1.376389
30	1.454579
31	1.526389
32	1.447056
33	1.538500
34	1.523474
35	1.471889
36	1.533389
37	1.518111
38	1.515895
39	1.562667
40	1.522278
41	1.537526
42	1.511444
43	1.553611
44	1.435000
45	1.507211
46	1.451667
47	1.532333
48	1.513333
49	1.591842
50	1.477833
51	1.507056
52	1.530684
53	1.567778
54	1.481944
55	1.478111
56	1.521421
57	1.499389
58	1.619667
59	1.528389
60	1.494211
61	1.565000
62	1.508611
63	1.548105
64	1.554333
65	1.567444
66	1.533278
67	1.577316
68	1.526000
69	1.446056
70	1.605222
71	1.586474
72	1.607111
73	1.584611
74	1.477611
75	1.476526
76	1.615222
77	1.539056
78	1.579737
79	1.607056
80	1.554556
81	1.650556
82	1.589684
83	1.589111
84	1.618667
85	1.506222
86	1.581263
87	1.544722
88	1.612222
89	1.638842
90	1.573556
91	1.678722
92	1.596056
93	1.550421
94	1.610333
95	1.544000
96	1.555389
97	1.562895
98	1.561444
99	1.611556
100	1.580053
101	1.556389
102	1.574333
103	1.668611
104	1.658737
105	1.616667
106	1.686500
107	1.639556
108	1.611053
109	1.617000
110	1.630722
111	1.560500
112	1.621684
113	1.575056
114	1.590833
115	1.588368
116	1.643389
117	1.627500
118	1.624000
119	1.495105
120	1.531667
121	1.600278
122	1.652944
123	1.621105
124	1.664833
125	1.667833
126	1.627737
127	1.520500
128	1.500056
129	1.615667
130	1.662526
131	1.556278
132	1.615333
133	1.595500
134	1.553053
135	1.611722
136	1.565222
137	1.560944
138	1.701211
139	1.587611
140	1.598611
141	1.556526
142	1.584000
143	1.677556
144	1.517222
145	1.614105
146	1.559500
147	1.577056
148	1.609722
149	1.637053
150	1.615000
151	1.557778
152	1.552947
153	1.616278
154	1.634833
155	1.543778
156	1.562421
157	1.534222
158	1.665111
159	1.591944
160	1.532895
161	1.642833
162	1.699167
163	1.741947
164	1.530889
165	1.613944
166	1.615500
167	1.635632
168	1.599167
169	1.556611
170	1.603722
171	1.581895
172	1.571167
173	1.550722
174	1.599389
175	1.616474
176	1.650278
177	1.626556
178	1.577158
179	1.663556
180	1.652556
181	1.614389
182	1.574368
183	1.634778
184	1.625222
185	1.680278
186	1.541158
187	1.650500
188	1.621611
189	1.641947
190	1.651000
191	1.671722
192	1.646222
193	1.626316
194	1.576278
195	1.665611
196	1.593500
197	1.669158
198	1.633667
199	1.569556
200	1.633789
