epoch	G
1	3.697286
2	2.207375
3	1.825750
4	1.763000
5	1.621000
6	1.633625
7	1.786875
8	1.597857
9	1.516625
10	1.464250
11	1.645500
12	1.680250
13	1.585375
14	1.631500
15	1.604625
16	1.603714
17	1.494375
18	1.564750
19	1.527000
20	1.517500
21	1.438250
22	1.522500
23	1.530125
24	1.576571
25	1.712000
26	1.569375
27	1.514750
28	1.551625
29	1.648500
30	1.547625
31	1.594857
32	1.494500
33	1.668625
34	1.578250
35	1.739500
36	1.547875
37	1.587500
38	1.584750
39	1.395143
40	1.520250
41	1.597500
42	1.625750
43	1.459375
44	1.601875
45	1.500000
46	1.504625
47	1.623857
48	1.613625
49	1.640750
50	1.565000
51	1.533250
52	1.623250
53	1.581250
54	1.583571
55	1.604875
56	1.710750
57	1.856750
58	1.777125
59	1.551875
60	1.572875
61	1.640000
62	1.669429
63	1.687750
64	1.603875
65	1.590500
66	1.627125
67	1.609000
68	1.523000
69	1.562250
70	1.656143
71	1.590750
72	1.630625
73	1.675125
74	1.624375
75	1.699500
76	1.603250
77	1.681571
78	1.686875
79	1.645375
80	1.704875
81	1.535000
82	1.679375
83	1.575125
84	1.559000
85	1.637000
86	1.809125
87	1.531500
88	1.535500
89	1.620875
90	1.801500
91	1.636375
92	1.644875
93	1.574429
94	1.726750
95	1.953500
96	1.624375
97	1.712875
98	1.723000
99	1.718375
100	1.647000
101	1.852714
102	1.630875
103	1.608125
104	1.850125
105	1.748875
106	1.864750
107	1.703750
108	1.760143
109	1.594625
110	1.800125
111	1.722500
112	1.708875
113	1.741000
114	1.586625
115	1.782750
116	1.645857
117	1.804500
118	1.750125
119	1.820375
120	1.876000
121	1.860125
122	1.727125
123	1.697125
124	1.757429
125	1.697750
126	1.719875
127	1.844000
128	1.625000
129	1.888375
130	1.691500
131	1.618857
132	1.721250
133	1.792875
134	2.035625
135	1.786250
136	1.791875
137	1.740000
138	1.696875
139	1.752714
140	1.874875
141	1.792375
142	1.708625
143	1.677500
144	1.734000
145	1.724875
146	1.882375
147	1.707571
148	1.612250
149	1.810625
150	1.681000
151	1.653500
152	1.835000
153	1.699875
154	1.790714
155	1.791750
156	1.746125
157	1.705875
158	1.852375
159	1.844750
160	1.729625
161	1.703000
162	1.795857
163	1.742500
164	1.817250
165	1.746500
166	1.687250
167	1.627000
168	1.902500
169	1.789250
170	1.836571
171	1.839000
172	1.911000
173	1.674125
174	1.727125
175	1.704875
176	1.868750
177	1.660286
178	1.768000
179	1.906500
180	1.760000
181	1.754000
182	1.643375
183	1.803000
184	1.855250
185	1.788857
186	1.768500
187	1.711375
188	1.893750
189	1.768500
190	1.789875
191	1.761875
192	1.788625
193	1.671571
194	1.753125
195	1.746875
196	1.744750
197	1.739375
198	1.744750
199	1.844625
200	1.840000
