epoch	G
1	3.978228
2	3.858083
3	3.755994
4	3.214726
5	3.257278
6	2.761544
7	3.073067
8	2.773395
9	3.033839
10	2.657822
11	2.603617
12	2.898326
13	2.670528
14	2.548778
15	2.516478
16	2.513653
17	2.447650
18	2.520722
19	2.466383
20	2.439511
21	2.344344
22	2.300506
23	2.313156
24	2.239774
25	2.272961
26	2.054550
27	2.133000
28	2.122539
29	2.225117
30	2.062372
31	2.263505
32	2.140144
33	2.258717
34	2.033461
35	2.162537
36	2.010328
37	1.910328
38	2.001144
39	2.004674
40	2.018911
41	2.074139
42	1.915928
43	2.186100
44	2.166572
45	1.961956
46	1.997583
47	2.090205
48	2.201033
49	1.941272
50	1.803026
51	1.820067
52	1.917317
53	2.038950
54	1.902032
55	2.073228
56	2.009011
57	1.905306
58	1.679979
59	1.892833
60	1.827683
61	1.818117
62	1.983858
63	1.877894
64	1.787528
65	1.878344
66	2.047537
67	1.919806
68	1.849272
69	1.720028
70	1.794300
71	1.746250
72	1.826706
73	1.720022
74	1.711647
75	1.749617
76	1.825639
77	1.857221
78	1.813800
79	1.827339
80	1.701417
81	1.722979
82	1.728261
83	1.714133
84	1.797050
85	1.781821
86	1.776317
87	1.732089
88	1.775189
89	1.606600
90	1.819217
91	1.695994
92	1.775217
93	1.682700
94	1.819378
95	1.618078
96	1.805728
97	1.686789
98	1.691956
99	1.693717
100	1.888205
101	1.669306
102	1.583806
103	1.721833
104	1.727074
105	1.798072
106	1.732928
107	1.734522
108	1.660963
109	1.718644
110	1.665133
111	1.741806
112	1.710874
113	1.699644
114	1.663706
115	1.726872
116	1.683074
117	1.537444
118	1.603344
119	1.740056
120	1.558205
121	1.572406
122	1.555489
123	1.793483
124	1.591389
125	1.633361
126	1.594456
127	1.588895
128	1.776583
129	1.510444
130	1.642561
131	1.544700
132	1.522022
133	1.513722
134	1.587606
135	1.585484
136	1.454767
137	1.555300
138	1.539628
139	1.596205
140	1.589800
141	1.513283
142	1.518989
143	1.440774
144	1.465744
145	1.540861
146	1.522617
147	1.540274
148	1.611183
149	1.576872
150	1.475300
151	1.509611
152	1.451033
153	1.604517
154	1.437284
155	1.571667
156	1.529244
157	1.433239
158	1.427368
159	1.431367
160	1.552806
161	1.464233
162	1.481221
163	1.395706
164	1.467239
165	1.520139
166	1.450179
167	1.409739
168	1.380767
169	1.421567
170	1.471884
171	1.379872
172	1.471233
173	1.456506
174	1.446400
175	1.366944
176	1.374589
177	1.433326
178	1.381872
179	1.411844
180	1.524639
181	1.384947
182	1.360706
183	1.357656
184	1.395678
185	1.387689
186	1.324317
187	1.372511
188	1.399550
189	1.439979
190	1.427872
191	1.399750
192	1.369789
193	1.397542
194	1.264878
195	1.461722
196	1.374739
197	1.398605
198	1.286889
199	1.364200
200	1.440363
