epoch	G
1	4.605203
2	3.824059
3	3.179655
4	3.205891
5	2.988135
6	2.928834
7	2.872984
8	2.736909
9	2.441277
10	2.554859
11	2.564874
12	2.494475
13	2.489123
14	2.313316
15	2.435761
16	2.222372
17	2.282974
18	2.303231
19	2.213381
20	2.157766
21	2.206381
22	2.124988
23	2.152245
24	2.015312
25	2.079784
26	2.187059
27	1.966432
28	2.035831
29	2.031813
30	1.993331
31	2.034161
32	1.899578
33	2.003316
34	1.912012
35	1.956916
36	1.980538
37	2.021177
38	1.981019
39	1.972577
40	1.823222
41	1.910823
42	1.847356
43	1.887552
44	1.878191
45	1.914400
46	1.961388
47	1.821871
48	1.841047
49	1.907855
50	1.882519
51	1.832181
52	1.742694
53	1.882581
54	1.743066
55	1.671997
56	1.816869
57	1.719723
58	1.826947
59	1.703652
60	1.751953
61	1.859826
62	1.812975
63	1.723345
64	1.747669
65	1.699787
66	1.786216
67	1.719197
68	1.762422
69	1.760206
70	1.798497
71	1.744471
72	1.808097
73	1.752668
74	1.677928
75	1.798455
76	1.763103
77	1.694068
78	1.720463
79	1.732429
80	1.604781
81	1.751658
82	1.665128
83	1.794339
84	1.778463
85	1.687129
86	1.778128
87	1.817368
88	1.707084
89	1.727529
90	1.627766
91	1.701281
92	1.697516
93	1.781055
94	1.656156
95	1.733671
96	1.711850
97	1.623977
98	1.676841
99	1.830081
100	1.738494
101	1.656184
102	1.742503
103	1.669458
104	1.743103
105	1.574545
106	1.585844
107	1.560697
108	1.648222
109	1.543310
110	1.633266
111	1.593297
112	1.561081
113	1.621248
114	1.630553
115	1.575342
116	1.573331
117	1.657103
118	1.583228
119	1.563187
120	1.621559
121	1.543326
122	1.560391
123	1.507126
124	1.575050
125	1.527035
126	1.637166
127	1.607926
128	1.579516
129	1.506245
130	1.557809
131	1.631123
132	1.619316
133	1.594935
134	1.533694
135	1.551974
136	1.542231
137	1.525023
138	1.568066
139	1.466345
140	1.567144
141	1.525355
142	1.523516
143	1.503723
144	1.534700
145	1.524258
146	1.521119
147	1.570213
148	1.505866
149	1.477587
150	1.581719
151	1.549935
152	1.521306
153	1.478584
154	1.498928
155	1.519313
156	1.473622
157	1.500290
158	1.561800
159	1.489113
160	1.510125
161	1.608703
162	1.523159
163	1.440016
164	1.558294
165	1.459123
166	1.465247
167	1.468900
168	1.558572
169	1.504726
170	1.544053
171	1.478474
172	1.542569
173	1.507939
174	1.429663
175	1.504100
176	1.506738
177	1.498200
178	1.559950
179	1.520455
180	1.515841
181	1.467565
182	1.575766
183	1.452681
184	1.451422
185	1.516716
186	1.506269
187	1.465629
188	1.488962
189	1.468529
190	1.466391
191	1.480797
192	1.494884
193	1.473545
194	1.468094
195	1.503097
196	1.451691
197	1.486358
198	1.518097
199	1.436774
200	1.469369
