epoch	G
1	4.831067
2	4.478861
3	4.153700
4	3.557632
5	3.227089
6	3.209550
7	2.662389
8	2.769137
9	2.913233
10	2.711467
11	2.649500
12	2.515937
13	2.629178
14	2.610850
15	2.318321
16	2.722072
17	2.510439
18	2.339489
19	2.529837
20	2.390772
21	2.222878
22	2.356406
23	2.292358
24	2.344817
25	2.317322
26	2.334463
27	2.409333
28	2.139172
29	2.113372
30	2.073668
31	2.303822
32	2.016811
33	2.076106
34	2.074989
35	2.218150
36	2.079717
37	2.146550
38	2.107289
39	2.125628
40	2.031606
41	2.128174
42	1.930039
43	1.928272
44	2.077978
45	2.024016
46	1.926850
47	1.930400
48	1.988211
49	2.008647
50	1.931133
51	1.970689
52	1.887505
53	2.041606
54	1.835744
55	1.902933
56	1.812537
57	1.925050
58	1.865261
59	1.957806
60	2.034653
61	1.786506
62	1.814961
63	1.937037
64	1.812317
65	1.654322
66	1.812494
67	1.887616
68	1.969917
69	1.932456
70	1.935844
71	1.859516
72	1.806361
73	1.884422
74	1.824061
75	1.877642
76	1.852800
77	1.776722
78	1.868058
79	1.969511
80	1.735256
81	1.751961
82	1.727337
83	1.848617
84	1.853022
85	1.739350
86	1.835716
87	1.738489
88	1.788089
89	1.718195
90	1.780333
91	1.817433
92	1.775833
93	1.815805
94	1.756522
95	1.896567
96	1.796811
97	1.852842
98	1.819856
99	1.672178
100	1.800337
101	1.654072
102	1.897939
103	1.710367
104	1.742095
105	1.778172
106	1.732072
107	1.774206
108	1.689747
109	1.666939
110	1.858894
111	1.723600
112	1.799300
113	1.669367
114	1.689944
115	1.628358
116	1.749528
117	1.648806
118	1.637406
119	1.766858
120	1.719950
121	1.648628
122	1.616661
123	1.666584
124	1.712922
125	1.553061
126	1.746795
127	1.561983
128	1.628950
129	1.742928
130	1.713700
131	1.623011
132	1.670000
133	1.706017
134	1.647921
135	1.641328
136	1.535244
137	1.527972
138	1.672984
139	1.585239
140	1.639006
141	1.626611
142	1.628267
143	1.560194
144	1.558844
145	1.657358
146	1.595094
147	1.562694
148	1.561139
149	1.636800
150	1.577372
151	1.521311
152	1.639963
153	1.601572
154	1.541200
155	1.584167
156	1.505137
157	1.626878
158	1.505528
159	1.648378
160	1.566121
161	1.619056
162	1.499811
163	1.709032
164	1.527222
165	1.517172
166	1.571411
167	1.520979
168	1.501550
169	1.532017
170	1.581111
171	1.553563
172	1.520628
173	1.550233
174	1.512672
175	1.472526
176	1.529367
177	1.539333
178	1.527158
179	1.539044
180	1.616333
181	1.571267
182	1.542995
183	1.482100
184	1.467256
185	1.429217
186	1.528468
187	1.556300
188	1.518722
189	1.553968
190	1.543611
191	1.550144
192	1.511267
193	1.544074
194	1.487883
195	1.530761
196	1.492128
197	1.529142
198	1.516450
199	1.507817
200	1.408247
