epoch	G
1	4.036800
2	3.711275
3	3.917900
4	4.180925
5	3.849963
6	3.770138
7	3.647137
8	3.663529
9	3.313950
10	3.405438
11	3.723863
12	3.024450
13	3.557025
14	3.097138
15	3.348537
16	3.205257
17	3.313125
18	3.179712
19	3.367463
20	3.316838
21	3.100825
22	3.108500
23	2.756625
24	3.210814
25	3.578525
26	2.871700
27	2.887313
28	3.065087
29	2.748287
30	2.896975
31	2.832114
32	2.762175
33	2.751100
34	2.908425
35	2.718575
36	2.632225
37	2.989012
38	2.603087
39	2.639457
40	2.716638
41	2.520950
42	2.770975
43	2.713563
44	2.695025
45	2.424412
46	2.660825
47	2.666071
48	2.219288
49	2.829613
50	2.391938
51	2.566013
52	2.854600
53	2.527813
54	2.514800
55	2.582875
56	2.615625
57	2.446213
58	2.217700
59	2.261725
60	2.420775
61	2.465575
62	2.275157
63	2.277925
64	2.537400
65	2.297425
66	2.350363
67	2.424613
68	2.449675
69	2.242650
70	2.529343
71	2.769763
72	2.341087
73	2.244838
74	2.342275
75	2.387175
76	2.202850
77	2.259329
78	2.263775
79	2.419612
80	2.434525
81	2.329988
82	2.212050
83	2.117775
84	2.059563
85	2.152729
86	2.377525
87	2.141637
88	2.223275
89	2.008850
90	2.028925
91	2.273950
92	2.203263
93	2.328557
94	2.150362
95	2.233588
96	2.258113
97	2.250850
98	2.456400
99	2.223863
100	2.222762
101	2.212929
102	1.946263
103	2.105587
104	2.233750
105	2.204087
106	2.153888
107	2.085338
108	2.095229
109	1.961075
110	2.163213
111	2.023687
112	2.162125
113	2.102125
114	2.179825
115	2.197625
116	2.193157
117	2.065612
118	2.090975
119	2.118200
120	1.979112
121	2.398163
122	2.244200
123	2.019013
124	1.999500
125	2.252187
126	2.225400
127	1.850500
128	1.971362
129	1.902575
130	2.079963
131	2.194943
132	1.691050
133	1.994287
134	2.238638
135	1.974750
136	1.965588
137	1.937612
138	2.057362
139	2.058629
140	2.056713
141	2.163737
142	1.960788
143	2.003150
144	1.789775
145	1.904500
146	1.845987
147	1.882671
148	2.087225
149	2.066625
150	1.839587
151	1.927950
152	2.001475
153	1.991975
154	1.883643
155	1.877725
156	1.933887
157	2.027150
158	1.825850
159	1.720163
160	1.995713
161	2.139137
162	1.914229
163	1.938375
164	1.982363
165	1.862575
166	2.037287
167	1.859587
168	1.876313
169	2.028575
170	1.919129
171	1.834537
172	2.012462
173	1.882375
174	1.922675
175	1.851988
176	1.831862
177	1.977171
178	1.846812
179	1.980113
180	1.886725
181	1.818900
182	1.997737
183	1.867212
184	1.710263
185	1.960914
186	1.913025
187	1.924750
188	1.940263
189	1.915338
190	1.948200
191	1.848863
192	1.930125
193	1.912900
194	1.810200
195	1.913950
196	1.977975
197	1.914588
198	1.859600
199	1.865088
200	1.854137
