epoch	G
1	2.218389
2	1.430278
3	1.524889
4	1.508316
5	1.471111
6	1.356000
7	1.518056
8	1.390684
9	1.323500
10	1.367889
11	1.312500
12	1.351842
13	1.312556
14	1.437333
15	1.313278
16	1.440737
17	1.331056
18	1.345444
19	1.362444
20	1.329053
21	1.272611
22	1.302778
23	1.451833
24	1.281895
25	1.283056
26	1.275167
27	1.318789
28	1.269556
29	1.261778
30	1.314500
31	1.319263
32	1.329778
33	1.304000
34	1.297833
35	1.326842
36	1.352222
37	1.316222
38	1.361389
39	1.356895
40	1.381444
41	1.519833
42	1.503778
43	1.641368
44	1.562778
45	1.730944
46	1.693111
47	1.613684
48	1.509833
49	1.513167
50	1.519368
51	1.493389
52	1.487000
53	1.508111
54	1.648737
55	1.642722
56	1.582944
57	1.608333
58	1.566895
59	1.515222
60	1.622000
61	1.598389
62	1.529053
63	1.662056
64	1.576222
65	1.569667
66	1.510000
67	1.553833
68	1.531889
69	1.451111
70	1.443737
71	1.552556
72	1.455444
73	1.598444
74	1.453684
75	1.516167
76	1.421222
77	1.544947
78	1.425833
79	1.449833
80	1.492889
81	1.551895
82	1.599444
83	1.477944
84	1.404444
85	1.467947
86	1.420667
87	1.455667
88	1.454389
89	1.551211
90	1.457500
91	1.475167
92	1.472389
93	1.363526
94	1.331111
95	1.438944
96	1.538556
97	1.455684
98	1.406500
99	1.459611
100	1.437421
101	1.409333
102	1.462889
103	1.499056
104	1.482263
105	1.405722
106	1.469056
107	1.437389
108	1.478316
109	1.472167
110	1.420667
111	1.478556
112	1.432421
113	1.433222
114	1.556333
115	1.435889
116	1.431632
117	1.397833
118	1.418556
119	1.349333
120	1.505000
121	1.401222
122	1.405167
123	1.459889
124	1.415789
125	1.444556
126	1.422611
127	1.489579
128	1.444000
129	1.357389
130	1.453278
131	1.424842
132	1.467833
133	1.429111
134	1.453444
135	1.435421
136	1.406556
137	1.425000
138	1.473500
139	1.457421
140	1.412167
141	1.463889
142	1.467889
143	1.438947
144	1.364611
145	1.445444
146	1.426056
147	1.497316
148	1.476278
149	1.418278
150	1.396053
151	1.461222
152	1.449167
153	1.418722
154	1.459947
155	1.417944
156	1.504778
157	1.372278
158	1.470105
159	1.557889
160	1.421667
161	1.385000
162	1.481632
163	1.462167
164	1.451944
165	1.393833
166	1.440000
167	1.453667
168	1.472056
169	1.465667
170	1.423737
171	1.509833
172	1.520333
173	1.434722
174	1.451105
175	1.451611
176	1.511667
177	1.519895
178	1.571167
179	1.520000
180	1.482389
181	1.470000
182	1.403000
183	1.497389
184	1.478500
185	1.532842
186	1.503611
187	1.637167
188	1.519389
189	1.609105
190	1.497389
191	1.653278
192	1.535389
193	1.581842
194	1.609000
195	1.607389
196	1.569778
197	1.591158
198	1.605333
199	1.495389
200	1.497000
