epoch	G
1	1.968419
2	1.403094
3	1.370968
4	1.322844
5	1.303516
6	1.330719
7	1.279774
8	1.335187
9	1.335129
10	1.295562
11	1.300419
12	1.277125
13	1.258065
14	1.289375
15	1.265806
16	1.340688
17	1.432935
18	1.364625
19	1.320387
20	1.533375
21	1.295774
22	1.288375
23	1.266387
24	1.193781
25	1.221000
26	1.251313
27	1.225097
28	1.238406
29	1.226613
30	1.222844
31	1.209903
32	1.186969
33	1.158323
34	1.226656
35	1.197097
36	1.205125
37	1.216452
38	1.198813
39	1.181419
40	1.241969
41	1.234677
42	1.217688
43	1.255548
44	1.255250
45	1.314871
46	1.372500
47	1.351194
48	1.439938
49	1.380935
50	1.362156
51	1.442548
52	1.494312
53	1.445677
54	1.552500
55	1.515419
56	1.471437
57	1.515903
58	1.540219
59	1.532839
60	1.642187
61	1.552548
62	1.472875
63	1.489613
64	1.499531
65	1.489161
66	1.500156
67	1.480419
68	1.511750
69	1.456774
70	1.476031
71	1.492613
72	1.401219
73	1.498548
74	1.430906
75	1.470129
76	1.531313
77	1.396871
78	1.480563
79	1.444387
80	1.513656
81	1.401484
82	1.431219
83	1.471968
84	1.387563
85	1.489032
86	1.540500
87	1.554871
88	1.495531
89	1.469968
90	1.412281
91	1.352097
92	1.426000
93	1.477839
94	1.404688
95	1.404387
96	1.468312
97	1.407871
98	1.406688
99	1.503903
100	1.386250
101	1.370677
102	1.405469
103	1.341032
104	1.386750
105	1.379355
106	1.366031
107	1.354065
108	1.337438
109	1.321226
110	1.331063
111	1.291935
112	1.350719
113	1.367000
114	1.338281
115	1.349903
116	1.321094
117	1.367968
118	1.432438
119	1.353581
120	1.337125
121	1.441613
122	1.333969
123	1.391871
124	1.379625
125	1.371871
126	1.321750
127	1.390903
128	1.342062
129	1.392645
130	1.374094
131	1.358806
132	1.352094
133	1.362516
134	1.356937
135	1.347419
136	1.338812
137	1.365871
138	1.312469
139	1.338387
140	1.365000
141	1.359774
142	1.402281
143	1.381258
144	1.385844
145	1.367452
146	1.352313
147	1.388290
148	1.377875
149	1.372000
150	1.356156
151	1.361097
152	1.326469
153	1.339161
154	1.381531
155	1.338032
156	1.373344
157	1.380419
158	1.343125
159	1.374323
160	1.424469
161	1.331065
162	1.356156
163	1.383935
164	1.395000
165	1.321935
166	1.336938
167	1.355710
168	1.340781
169	1.334516
170	1.314719
171	1.321323
172	1.332375
173	1.360000
174	1.324250
175	1.330323
176	1.291781
177	1.342290
178	1.327031
179	1.313548
180	1.314656
181	1.398419
182	1.325219
183	1.391548
184	1.333594
185	1.326290
186	1.366656
187	1.361516
188	1.373125
189	1.364677
190	1.384969
191	1.336903
192	1.352844
193	1.333097
194	1.385031
195	1.378387
196	1.389281
197	1.352871
198	1.372406
199	1.380548
200	1.352156
