epoch	G
1	2.418333
2	1.875611
3	1.519611
4	1.406368
5	1.319111
6	1.716611
7	1.282444
8	1.435053
9	1.237222
10	1.386111
11	1.188833
12	1.307842
13	1.319389
14	1.333111
15	1.227526
16	1.329889
17	1.323500
18	1.366833
19	1.401947
20	1.294333
21	1.236778
22	1.308222
23	1.336263
24	1.356111
25	1.468722
26	1.408632
27	1.446556
28	1.298778
29	1.378889
30	1.365737
31	1.420833
32	1.408778
33	1.365389
34	1.427263
35	1.416611
36	1.565889
37	1.446333
38	1.535000
39	1.627167
40	1.710778
41	1.691947
42	1.462444
43	1.533444
44	1.407167
45	1.371368
46	1.460000
47	1.450667
48	1.510833
49	1.453737
50	1.450611
51	1.393722
52	1.424684
53	1.331000
54	1.397500
55	1.399556
56	1.453474
57	1.421333
58	1.425944
59	1.407111
60	1.474474
61	1.364667
62	1.396611
63	1.359158
64	1.347722
65	1.442833
66	1.342556
67	1.368526
68	1.357722
69	1.376111
70	1.418778
71	1.390526
72	1.322111
73	1.448278
74	1.388333
75	1.404947
76	1.365778
77	1.409500
78	1.398579
79	1.384333
80	1.427444
81	1.457500
82	1.424947
83	1.340278
84	1.399222
85	1.360500
86	1.409684
87	1.353778
88	1.371333
89	1.390526
90	1.419056
91	1.353833
92	1.386444
93	1.350947
94	1.407333
95	1.408889
96	1.450889
97	1.416368
98	1.440167
99	1.435833
100	1.446421
101	1.357056
102	1.485667
103	1.474500
104	1.496474
105	1.448389
106	1.407056
107	1.447056
108	1.495579
109	1.475278
110	1.530778
111	1.454167
112	1.413526
113	1.489611
114	1.415000
115	1.442947
116	1.449944
117	1.414444
118	1.463778
119	1.502053
120	1.513222
121	1.435278
122	1.353611
123	1.381263
124	1.444889
125	1.400833
126	1.467474
127	1.376389
128	1.416667
129	1.443000
130	1.435526
131	1.392611
132	1.345278
133	1.440556
134	1.487316
135	1.439389
136	1.417056
137	1.424944
138	1.419316
139	1.401444
140	1.467389
141	1.410789
142	1.431333
143	1.446667
144	1.388889
145	1.418789
146	1.395000
147	1.410889
148	1.434889
149	1.363526
150	1.402167
151	1.490278
152	1.387947
153	1.334111
154	1.471778
155	1.451111
156	1.385684
157	1.403389
158	1.432556
159	1.353833
160	1.381789
161	1.394611
162	1.344667
163	1.493000
164	1.410389
165	1.355611
166	1.407111
167	1.411684
168	1.384389
169	1.437833
170	1.338556
171	1.403263
172	1.379056
173	1.416889
174	1.408833
175	1.408474
176	1.439111
177	1.414833
178	1.435947
179	1.506722
180	1.444611
181	1.416611
182	1.399053
183	1.496556
184	1.391333
185	1.383111
186	1.402368
187	1.452667
188	1.448222
189	1.447316
190	1.403944
191	1.459111
192	1.378722
193	1.472579
194	1.458500
195	1.415500
196	1.429000
197	1.410000
198	1.479778
199	1.400556
200	1.429842
