epoch	G
1	3.059000
2	1.800250
3	1.554000
4	1.527875
5	1.434875
6	1.519375
7	1.497250
8	1.463714
9	1.512625
10	2.119125
11	1.677625
12	1.447250
13	1.425250
14	1.482000
15	1.434125
16	1.359286
17	1.391375
18	1.471000
19	1.379125
20	1.407375
21	1.462500
22	1.420875
23	1.510625
24	1.478429
25	1.357875
26	1.493500
27	1.490625
28	1.467125
29	1.491750
30	1.447250
31	1.512143
32	1.549875
33	1.425250
34	1.503875
35	1.446375
36	1.536375
37	1.520500
38	1.566625
39	1.525857
40	1.526375
41	1.439125
42	1.513250
43	1.425375
44	1.464125
45	1.425125
46	1.453875
47	1.488143
48	1.495625
49	1.407625
50	1.442875
51	1.481125
52	1.436375
53	1.463125
54	1.434000
55	1.442250
56	1.509500
57	1.418125
58	1.547250
59	1.428125
60	1.511375
61	1.359000
62	1.495000
63	1.455375
64	1.478000
65	1.455125
66	1.508500
67	1.465750
68	1.503625
69	1.488250
70	1.581000
71	1.597125
72	1.526250
73	1.514375
74	1.463625
75	1.491750
76	1.506000
77	1.538429
78	1.512125
79	1.542625
80	1.491125
81	1.521875
82	1.503125
83	1.571750
84	1.560500
85	1.473714
86	1.473375
87	1.531375
88	1.552125
89	1.545750
90	1.541250
91	1.556500
92	1.524000
93	1.555000
94	1.604125
95	1.518125
96	1.560625
97	1.597000
98	1.586625
99	1.516875
100	1.513750
101	1.511143
102	1.541500
103	1.562250
104	1.572000
105	1.534750
106	1.476375
107	1.537875
108	1.569571
109	1.527250
110	1.530250
111	1.589000
112	1.578750
113	1.599875
114	1.534125
115	1.511000
116	1.510857
117	1.507000
118	1.589375
119	1.483875
120	1.549875
121	1.573375
122	1.549875
123	1.553875
124	1.539000
125	1.536500
126	1.557500
127	1.523875
128	1.526750
129	1.552375
130	1.718500
131	1.594714
132	1.602125
133	1.546500
134	1.512750
135	1.554625
136	1.597375
137	1.572500
138	1.561375
139	1.600286
140	1.613750
141	1.568250
142	1.600375
143	1.610250
144	1.605875
145	1.573750
146	1.540125
147	1.630714
148	1.611750
149	1.551500
150	1.605750
151	1.495500
152	1.557500
153	1.504125
154	1.512714
155	1.595500
156	1.605500
157	1.535750
158	1.522125
159	1.616875
160	1.620125
161	1.610250
162	1.597000
163	1.612750
164	1.627625
165	1.617000
166	1.652125
167	1.614625
168	1.556875
169	1.609250
170	1.548429
171	1.554375
172	1.551250
173	1.622750
174	1.567125
175	1.523375
176	1.576250
177	1.619286
178	1.520250
179	1.606375
180	1.655250
181	1.579625
182	1.528500
183	1.638000
184	1.536625
185	1.614286
186	1.470375
187	1.583000
188	1.540625
189	1.539250
190	1.608500
191	1.547000
192	1.657875
193	1.572143
194	1.524250
195	1.572000
196	1.588000
197	1.560375
198	1.625125
199	1.575750
200	1.645875
